date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:24:49	302308/302308	---M-Z	200	added ('OK')	text/html	etag:%2249ce4-6258aae5e2af1-gzip%22	https://themesbrand.com/velzon/html/default/index.html	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/index.html	(from )
16:24:49	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-607430e6e63c6%22	https://themesbrand.com/robots.txt		(from )
16:24:49	113853/113853	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221bcbd-6074310184bab%22	https://themesbrand.com/velzon/html/default/assets/images/favicon.ico	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/images/favicon.ico	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:50	2139/2139	---M-Z	200	added ('OK')	text/css	etag:%2285b-6258aae5bd924-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/jsvectormap/jsvectormap.min.css	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/libs/jsvectormap/jsvectormap.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:50	18459/18459	---M-Z	200	added ('OK')	text/css	etag:%22481b-6258aae5c8507-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/swiper/swiper-bundle.min.css	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/libs/swiper/swiper-bundle.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:50	1237/1237	---M-Z	200	added ('OK')	application/javascript	etag:%224d5-60743101964eb-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/layout.js	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/js/layout.js	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:50	282222/282222	---M-Z	200	added ('OK')	text/css	etag:%2244e6e-6258aae52536e-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/bootstrap.min.css	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/css/bootstrap.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:50	620111/620111	---MCZ	200	added ('OK')	text/css	etag:%229764f-6258aae52630f-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/icons.min.css	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/css/icons.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:51	339890/339890	---M-Z	200	added ('OK')	text/css	etag:%2252fb2-6258aae5243ce-gzip%22	https://themesbrand.com/velzon/html/default/assets/css/app.min.css	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/css/app.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:51	44/44	---M--	200	added ('OK')	text/css	etag:%222c-60743101676ea%22	https://themesbrand.com/velzon/html/default/assets/css/custom.min.css	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/css/custom.min.css	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:51	7222/7222	---M--	200	added ('OK')	image/png	etag:%221c36-607431018c8ab%22	https://themesbrand.com/velzon/html/default/assets/images/logo-sm.png	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/images/logo-sm.png	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:51	3960/3960	---M--	200	added ('OK')	image/png	etag:%22f78-607431018c8ab%22	https://themesbrand.com/velzon/html/default/assets/images/logo-dark.png	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/images/logo-dark.png	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:52	3722/3722	---M--	200	added ('OK')	image/png	etag:%22e8a-607431018c8ab%22	https://themesbrand.com/velzon/html/default/assets/images/logo-light.png	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/images/logo-light.png	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:52	17336/17336	---M--	200	added ('OK')	image/jpeg	etag:%2243b8-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-2.jpg	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/images/users/avatar-2.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:52	11267/11267	---M--	200	added ('OK')	image/jpeg	etag:%222c03-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-3.jpg	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:52	11561/11561	---M--	200	added ('OK')	image/jpeg	etag:%222d29-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-5.jpg	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/images/users/avatar-5.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:53	300718/300718	---M-Z	200	added ('OK')	text/html	etag:%22496ae-6258aae5e9853-gzip%22	https://themesbrand.com/velzon/html/default/pages-search-results.html	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/pages-search-results.html	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:53	16289/16289	---M--	200	added ('OK')	image/svg+xml	etag:%223fa1-607431018a96b%22	https://themesbrand.com/velzon/html/default/assets/images/flags/us.svg	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/images/flags/us.svg	(from https://themesbrand.com/velzon/html/default/index.html)
16:24:53	5913/5913	---M--	200	added ('OK')	image/svg+xml	etag:%221719-60743101899cb%22	https://themesbrand.com/velzon/html/default/assets/images/flags/spain.svg	D:/Admin%20Themes/velzon%20theme/themesbrand.com/velzon/html/default/assets/images/flags/spain.svg	(from https://themesbrand.com/velzon/html/default/index.html)
